Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
731,468,1084,638,1169.6,748.8,-85.6,-110.8,1.561965812,1.699059561,0.277441991
669,416,1094,697,1070.4,665.6,23.6,31.4,1.608173077,1.569583931,0.758568707
688,419,1103,661,1100.8,670.4,2.2,-9.4,1.642004773,1.668683812,0.838601463
761,487,1190,753,1217.6,779.2,-27.6,-26.2,1.562628337,1.580345286,0.879569966
684,416,1209,767,1094.4,665.6,114.6,101.4,1.644230769,1.576271186,0.585507614
705,484,1164,666,1128,774.4,36,-108.4,1.45661157,1.747747748,0.017253762
667,444,1171,570,1067.2,710.4,103.8,-140.4,1.502252252,2.054385965,8.86E-05
778,466,1206,660,1244.8,745.6,-38.8,-85.6,1.669527897,1.827272727,0.235149992
772,412,1216,607,1235.2,659.2,-19.2,-52.2,1.873786408,2.003294893,0.396031988
673,434,1081,670,1076.8,694.4,4.2,-24.4,1.550691244,1.613432836,0.614781521
711,554,1178,736,1137.6,886.4,40.4,-150.4,1.283393502,1.600543478,0.002714038
708,424,1026,710,1132.8,678.4,-106.8,31.6,1.669811321,1.445070423,0.064981941
728,518,1101,614,1164.8,828.8,-63.8,-214.8,1.405405405,1.793159609,0.001438402
712,500,1150,712,1139.2,800,10.8,-88,1.424,1.615168539,0.094800331
694,452,1101,711,1110.4,723.2,-9.4,-12.2,1.53539823,1.548523207,0.912270653
711,487,1077,656,1137.6,779.2,-60.6,-123.2,1.459958932,1.641768293,0.127128229
682,408,1184,675,1091.2,652.8,92.8,22.2,1.671568627,1.754074074,0.54223686
739,506,1210,642,1182.4,809.6,27.6,-167.6,1.460474308,1.884735202,0.000748933
782,376,1155,629,1251.2,601.6,-96.2,27.4,2.079787234,1.836248013,0.118708413
646,472,1125,631,1033.6,755.2,91.4,-124.2,1.368644068,1.782884311,0.000748071
714,395,1153,737,1142.4,632,10.6,105,1.807594937,1.564450475,0.065062843
811,521,1145,719,1297.6,833.6,-152.6,-114.6,1.556621881,1.592489569,0.756950789
658,438,1209,706,1052.8,700.8,156.2,5.2,1.502283105,1.712464589,0.092523175
713,444,1148,708,1140.8,710.4,7.2,-2.4,1.605855856,1.621468927,0.900089436
693,466,1204,633,1108.8,745.6,95.2,-112.6,1.487124464,1.902053712,0.0015071
696,416,1181,683,1113.6,665.6,67.4,17.4,1.673076923,1.729136164,0.67443755
670,419,1032,748,1072,670.4,-40,77.6,1.599045346,1.379679144,0.060229076
675,413,1116,733,1080,660.8,36,72.2,1.634382567,1.522510232,0.366057035
727,441,1118,666,1163.2,705.6,-45.2,-39.6,1.648526077,1.678678679,0.815602391
661,443,1131,687,1057.6,708.8,73.4,-21.8,1.492099323,1.64628821,0.208687678
725,433,1068,604,1160,692.8,-92,-88.8,1.674364896,1.768211921,0.491537278
707,422,1171,736,1131.2,675.2,39.8,60.8,1.67535545,1.591032609,0.50460408
747,431,1152,736,1195.2,689.6,-43.2,46.4,1.733178654,1.565217391,0.183452259
743,463,1201,753,1188.8,740.8,12.2,12.2,1.60475162,1.594953519,0.935152099
806,471,1150,718,1289.6,753.6,-139.6,-35.6,1.711252654,1.601671309,0.377341336
646,481,1038,665,1033.6,769.6,4.4,-104.6,1.343035343,1.560902256,0.054268839
724,514,1022,716,1158.4,822.4,-136.4,-106.4,1.408560311,1.427374302,0.86052507
712,477,1127,666,1139.2,763.2,-12.2,-97.2,1.492662474,1.692192192,0.102320175
672,484,1125,755,1075.2,774.4,49.8,-19.4,1.388429752,1.490066225,0.352446189
656,430,1140,655,1049.6,688,90.4,-33,1.525581395,1.740458015,0.095978821
671,469,1105,731,1073.6,750.4,31.4,-19.4,1.430703625,1.511627907,0.473787784
749,426,1198,756,1198.4,681.6,-0.4,74.4,1.758215962,1.584656085,0.173273497
650,489,1204,695,1040,782.4,164,-87.4,1.329243354,1.732374101,0.00054258
731,472,1085,799,1169.6,755.2,-84.6,43.8,1.548728814,1.357947434,0.080209158
705,391,1115,669,1128,625.6,-13,43.4,1.803069054,1.666666667,0.32376499
721,459,1162,696,1153.6,734.4,8.4,-38.4,1.5708061,1.66954023,0.42617598
639,401,1149,706,1022.4,641.6,126.6,64.4,1.593516209,1.627478754,0.791252923
719,441,1137,626,1150.4,705.6,-13.4,-79.6,1.630385488,1.81629393,0.168350125
746,438,1135,642,1193.6,700.8,-58.6,-58.8,1.703196347,1.767912773,0.632064647
683,397,1084,687,1092.8,635.2,-8.8,51.8,1.720403023,1.577874818,0.27775744
711,385,1183,628,1137.6,616,45.4,12,1.846753247,1.883757962,0.804803449
638,465,1117,775,1020.8,744,96.2,31,1.372043011,1.441290323,0.521766442
655,499,1038,733,1048,798.4,-10,-65.4,1.312625251,1.416098226,0.321677022
710,439,1310,695,1136,702.4,174,-7.4,1.617312073,1.884892086,0.046333977
715,405,1153,687,1144,648,9,39,1.765432099,1.678311499,0.519848237
705,421,1120,746,1128,673.6,-8,72.4,1.674584323,1.501340483,0.159006492
685,441,1130,705,1096,705.6,34,-0.6,1.553287982,1.602836879,0.686033723
709,477,1202,776,1134.4,763.2,67.6,12.8,1.486373166,1.548969072,0.582519359
756,549,1168,734,1209.6,878.4,-41.6,-144.4,1.37704918,1.591280654,0.048435916
711,479,1233,633,1137.6,766.4,95.4,-133.4,1.48434238,1.947867299,0.000402703
647,405,1185,704,1035.2,648,149.8,56,1.597530864,1.683238636,0.509796956
778,461,1111,702,1244.8,737.6,-133.8,-35.6,1.687635575,1.582621083,0.397782552
673,372,1212,616,1076.8,595.2,135.2,20.8,1.809139785,1.967532468,0.302882225
761,374,1136,621,1217.6,598.4,-81.6,22.6,2.034759358,1.829307568,0.185394409
705,424,1162,641,1128,678.4,34,-37.4,1.662735849,1.812792512,0.272760645
731,392,1297,719,1169.6,627.2,127.4,91.8,1.864795918,1.803894298,0.670102856
722,432,1142,696,1155.2,691.2,-13.2,4.8,1.671296296,1.640804598,0.812262739
707,489,1159,760,1131.2,782.4,27.8,-22.4,1.445807771,1.525,0.477738415
753,436,1102,667,1204.8,697.6,-102.8,-30.6,1.72706422,1.652173913,0.567864167
687,394,1171,717,1099.2,630.4,71.8,86.6,1.743654822,1.633193863,0.407084857
694,404,1166,610,1110.4,646.4,55.6,-36.4,1.717821782,1.91147541,0.182682558
674,480,1133,778,1078.4,768,54.6,10,1.404166667,1.456298201,0.630338646
692,441,1099,739,1107.2,705.6,-8.2,33.4,1.569160998,1.48714479,0.487185057
758,473,1030,773,1212.8,756.8,-182.8,16.2,1.602536998,1.332470893,0.014325005
747,410,1227,662,1195.2,656,31.8,6,1.82195122,1.85347432,0.826236907
706,450,1028,711,1129.6,720,-101.6,-9,1.568888889,1.445850914,0.292116678
691,461,1170,762,1105.6,737.6,64.4,24.4,1.498915401,1.535433071,0.751658015
724,394,1143,641,1158.4,630.4,-15.4,10.6,1.837563452,1.783151326,0.706017095
706,403,1085,621,1129.6,644.8,-44.6,-23.8,1.751861042,1.747181965,0.973391905
674,447,1117,699,1078.4,715.2,38.6,-16.2,1.507829978,1.597997139,0.45531798
718,496,1108,728,1148.8,793.6,-40.8,-65.6,1.447580645,1.521978022,0.506370587
660,445,1076,742,1056,712,20,30,1.483146067,1.450134771,0.772050759
650,457,1132,748,1040,731.2,92,16.8,1.422319475,1.513368984,0.421243537
755,400,1179,647,1208,640,-29,7,1.8875,1.822256569,0.65539053
757,431,1092,651,1211.2,689.6,-119.2,-38.6,1.75638051,1.677419355,0.555500446
736,379,1158,700,1177.6,606.4,-19.6,93.6,1.941952507,1.654285714,0.042718085
750,435,1126,715,1200,696,-74,19,1.724137931,1.574825175,0.238586021
703,428,1204,731,1124.8,684.8,79.2,46.2,1.642523364,1.647058824,0.971501988
712,422,1163,751,1139.2,675.2,23.8,75.8,1.687203791,1.548601864,0.26659538
706,451,1175,749,1129.6,721.6,45.4,27.4,1.5654102,1.568758344,0.977657641
695,355,1123,651,1112,568,11,83,1.957746479,1.725038402,0.120902505
758,492,1155,744,1212.8,787.2,-57.8,-43.2,1.540650407,1.552419355,0.918728073
713,426,1165,623,1140.8,681.6,24.2,-58.6,1.67370892,1.869983949,0.159877213
652,376,1125,680,1043.2,601.6,81.8,78.4,1.734042553,1.654411765,0.561187793
704,399,1173,659,1126.4,638.4,46.6,20.6,1.764411028,1.779969651,0.911911504
731,448,1169,742,1169.6,716.8,-0.6,25.2,1.631696429,1.575471698,0.645185431
770,496,1162,684,1232,793.6,-70,-109.6,1.552419355,1.698830409,0.23024433
699,458,1039,702,1118.4,732.8,-79.4,-30.8,1.526200873,1.48005698,0.691807042
728,461,1175,698,1164.8,737.6,10.2,-39.6,1.579175705,1.683381089,0.402740348
676,435,1143,718,1081.6,696,61.4,22,1.554022989,1.591922006,0.756698675
,,,,,,9.6,-4.9,,,
,,,,,,7.466,-14.62,,,
